chakma,bangla
𑄖𑄪𑄃𑄨 𑄃𑄪𑄢𑄴𑄉𑄪𑄟𑄳𑄠 𑄉𑄧𑄢𑄨 𑄚𑄧 𑄗𑄬𑄃𑄨𑄌𑄴,তুমি উপর্যুপরি তাকিে থেকো না
𑄖𑄧 𑄟𑄪𑄠𑄮 𑄞𑄌𑄴 𑄚𑄧 𑄡𑄬𑄝𑄧 𑄞𑄧𑄌𑄴,তোমার আমার ভ লাগবে না
𑄇𑄧𑄚𑄧 𑄎𑄧𑄚𑄬 𑄥𑄖𑄴𑄇𑄟𑄴 𑄚𑄧 𑄞𑄝𑄨𑄣𑄬𑄠𑄳𑄠𑄧,কোন জনে সাতকা চিন্তা না করলে
𑄇𑄧𑄙 𑄇𑄧𑄚𑄖𑄴 𑄖𑄧 𑄞𑄏𑄬,কথা বলতে বলতে তোমার ভালো লাগে
"𑄥𑄧𑄚𑄴𑄞𑄪𑄃𑄨, 𑄖𑄢𑄪𑄟𑄴 𑄏𑄢𑄴 𑄃𑄪𑄘𑄨 𑄡𑄬𑄣𑄬𑄠𑄳𑄠𑄧","বন্ধু,তারুম জঙ্গল থেকে উঠে গেলে"
𑄍𑄧𑄢-𑄍𑄧𑄢𑄨 𑄥𑄏 𑄦𑄧𑄣𑄬𑄠𑄳𑄠𑄧,দৌাদৌি করলে
"𑄛𑄧𑄢𑄚𑄴 𑄝𑄎𑄬 𑄌𑄬𑄃𑄨𑄟𑄴, 𑄖𑄧𑄢𑄴 𑄥𑄬","প্রাণটা বাজাবো,তোমার সে"
"𑄃𑄉𑄧 𑄙𑄧𑄇𑄴, 𑄢𑄧𑄋𑄴 𑄞𑄧𑄢𑄧𑄚𑄴 𑄛𑄨𑄢𑄮𑄚𑄴","আগের মতো, রং ভরা পিঁপা"
𑄢𑄧𑄋𑄴𑄌𑄧𑄇𑄴𑄥𑄧𑄇𑄳𑄠𑄬 𑄃𑄚𑄨𑄝𑄢𑄴 𑄜𑄨𑄢𑄬।,রংচঙে আনার জন্য ফিরে
𑄙𑄧𑄚𑄴𑄛𑄪𑄘𑄨!,ধনপুটি
"𑄖𑄢𑄪𑄟𑄴 𑄏𑄢𑄴 𑄚𑄬𑄃𑄨, 𑄞𑄝𑄧𑄢𑄴",".তারুম জঙ্গল নেই,ব"
"𑄇𑄬𑄚𑄬 𑄝𑄚𑄬𑄝𑄬 𑄥𑄮𑄌𑄴𑄎𑄬𑄇𑄴, 𑄝𑄧 𑄇𑄘𑄨","কেন বানাবে সুগন্ধি,ব কাপ"
"𑄌𑄧 𑄉𑄌𑄴, 𑄥𑄨𑄣𑄴 𑄇𑄧𑄢𑄮𑄃𑄨 𑄃 𑄚𑄇𑄴𑄥𑄜𑄪𑄣𑄧 𑄉𑄌𑄴 𑄚𑄬𑄃𑄨","চ গাছ,সীালের পাশে একনাগাে ফুল আছে"
𑄝𑄚𑄬 𑄚𑄧 𑄛𑄢𑄨𑄝𑄬 𑄝𑄨𑄠𑄮𑄋𑄴।,বানাতে পারবে না বিে
𑄃𑄧𑄃𑄨 𑄟𑄬𑄠𑄬 𑄟𑄪𑄢𑄮𑄖𑄴 𑄝𑄨𑄎𑄮𑄢𑄴 𑄌𑄢𑄳𑄦𑄬 𑄘𑄨𑄣𑄪𑄋𑄴,ওই মেেটা পাহাে সব চে দিল
𑄖𑄧 𑄥𑄬 𑄝𑄚𑄬𑄝𑄢𑄴 𑄥𑄧𑄌𑄴𑄛𑄧𑄘𑄧𑄢𑄴 𑄥𑄪𑄚𑄴𑄎𑄪𑄇𑄴।,তোমার সে বানানোর শখ আছে
"𑄚𑄨𑄛𑄧𑄢𑄴𑄞 𑄉𑄧𑄢𑄨 𑄊𑄪𑄟𑄴 𑄡, 𑄌𑄨𑄘𑄬 𑄚𑄧 𑄃𑄚𑄨𑄌𑄴 𑄟𑄧𑄚𑄧𑄖𑄴",".নিঃশব্দ করে ঘুমাই যাও,চিন্তা করিও না মনে"
"𑄙𑄧𑄢𑄴𑄡𑄮 𑄙𑄧𑄢𑄨 𑄝𑄌𑄴𑄎𑄬 𑄛𑄬𑄝𑄬 𑄚𑄧 𑄗𑄬𑄝𑄧 𑄇𑄧𑄚𑄧 𑄃𑄪𑄚𑄧,",ধরে ধরে বেঁধে থাকতে পারবে না সে
𑄛𑄪𑄢𑄬𑄃𑄨 𑄛𑄢𑄨𑄝𑄬 𑄟𑄧𑄚𑄧𑄢𑄴 𑄃𑄃𑄧𑄱𑄌𑄴।,.পুেতে মনের ইচ্ছা পূরণ করতে পারবে
𑄘𑄧𑄉𑄨𑄚𑄴 𑄛𑄧𑄎𑄨𑄟𑄬𑄖𑄴𑄖𑄪𑄚𑄴,দক্ষিণ পশ্চিম থেকে
𑄇𑄣 𑄟𑄬𑄉𑄬 𑄙𑄉𑄨 𑄃𑄚𑄬𑄢𑄴,কালো মেে দৌে আসছে
𑄦𑄨𑄣𑄧𑄢𑄴 𑄦𑄬𑄭𑄣𑄴 𑄃𑄉𑄌𑄴𑄥𑄚𑄴,এক জাতী বুনো ফল যা সবজি হিসেবে ব্যবহৃত হ
"𑄇𑄨 𑄦𑄧𑄞𑄧, 𑄇𑄨 𑄉𑄧𑄢𑄨𑄝𑄧𑄋𑄴","কি হবে,কি হবে"
𑄊𑄧𑄢𑄴 𑄘𑄪𑄠𑄢𑄴 𑄌𑄬𑄣𑄬 𑄞𑄋 𑄞𑄋।,বািটা দুা দেখলে ভাঙা ভাঙা
𑄝𑄘𑄨𑄠𑄳𑄠 𑄇𑄧𑄠𑄴𑄘𑄬 𑄃𑄎𑄨,বাঁশের কলা বলে আজকে
𑄇𑄪𑄟𑄮𑄎𑄧 𑄉𑄌𑄴𑄍𑄪 𑄘𑄉𑄨 𑄇𑄧𑄢𑄴,মুরগীর গািটা ডাকতেছে
𑄇𑄬𑄣𑄳𑄠 𑄇𑄧𑄙𑄚𑄨 𑄃𑄬𑄌𑄳𑄠𑄬 𑄇𑄨 𑄇𑄧𑄌𑄴?,কেলা কথা গুলো আসে কেন?
"𑄷𑅄𑄾𑄹 𑄥𑄣𑄧𑄖𑄴,",৮১০৩. সাল
𑄥𑄬 𑄇𑄪𑄟𑄮𑄎𑄧 𑄉𑄌𑄴𑄍𑄱 𑄇𑄝𑄨 𑄘𑄨𑄣𑄇𑄴,সে মুরগিটা কেটে দিল
𑄥𑄬 𑄌𑄨𑄉𑄮𑄚𑄴 𑄉𑄏𑄬-𑄝𑄎𑄬,সে ছোট ছেলে-মেে
