Bengali,Chakma,Tense
তুমি উপর্যুপরি তাকিে থেকো না,𑄖𑄪𑄃𑄨 𑄃𑄪𑄢𑄴𑄉𑄪𑄟𑄳𑄠 𑄉𑄧𑄢𑄨 𑄚𑄧 𑄗𑄬𑄃𑄨𑄌𑄴,Present
তোমার আমার ভ লাগবে না,𑄖𑄧 𑄟𑄪𑄠𑄮 𑄞𑄌𑄴 𑄚𑄧 𑄡𑄬𑄝𑄧 𑄞𑄧𑄌𑄴,Future
কোন জনে সাতকা চিন্তা না করলে,𑄇𑄧𑄚𑄧 𑄎𑄧𑄚𑄬 𑄥𑄖𑄴𑄇𑄟𑄴 𑄚𑄧 𑄞𑄝𑄨𑄣𑄬𑄠𑄳𑄠𑄧,Past
কথা বলতে বলতে তোমার ভালো লাগে,𑄇𑄧𑄙 𑄇𑄧𑄚𑄖𑄴 𑄖𑄧 𑄞𑄏𑄬,Present
"বন্ধু,তারুম জঙ্গল থেকে উঠে গেলে","𑄥𑄧𑄚𑄴𑄞𑄪𑄃𑄨, 𑄖𑄢𑄪𑄟𑄴 𑄏𑄢𑄴 𑄃𑄪𑄘𑄨 𑄡𑄬𑄣𑄬𑄠𑄳𑄠𑄧",Past
দৌাদৌি করলে,𑄍𑄧𑄢-𑄍𑄧𑄢𑄨 𑄥𑄏 𑄦𑄧𑄣𑄬𑄠𑄳𑄠𑄧,Past
"প্রাণটা বাজাবো,তোমার সে","𑄛𑄧𑄢𑄚𑄴 𑄝𑄎𑄬 𑄌𑄬𑄃𑄨𑄟𑄴, 𑄖𑄧𑄢𑄴 𑄥𑄬",Future
"আগের মতো, রং ভরা পিঁপা","𑄃𑄉𑄧 𑄙𑄧𑄇𑄴, 𑄢𑄧𑄋𑄴 𑄞𑄧𑄢𑄧𑄚𑄴 𑄛𑄨𑄢𑄮𑄚𑄴",Present
রংচঙে আনার জন্য ফিরে,𑄢𑄧𑄋𑄴𑄌𑄧𑄇𑄴𑄥𑄧𑄇𑄳𑄠𑄬 𑄃𑄚𑄨𑄝𑄢𑄴 𑄜𑄨𑄢𑄬।,Present
ধনপুটি,𑄙𑄧𑄚𑄴𑄛𑄪𑄘𑄨!,Present
