Fourth Division,First Division
এগুলা কার জায়গা? কার ঘর? কার ছবি এইটি? কার কাছে যাচ্ছো তুমি? কার সাথে থাকো তোমরা?,𑄃𑄨𑄠𑄚𑄳𑄦𑄨 𑄇 𑄎𑄉? 𑄇 𑄊𑄧𑄢𑄴? 𑄇 𑄥𑄧𑄝𑄨 𑄃𑄨𑄞𑄬? 𑄇 𑄥𑄨𑄙𑄪 𑄎𑄧𑄖𑄴𑄗𑄬 𑄖𑄪𑄠𑄴? 𑄇 𑄣𑄧𑄊𑄬 𑄗𑄉𑄧𑄘𑄬 𑄖𑄪𑄟𑄳𑄦𑄨?
বেতের কুন্ডলী,𑄝𑄬𑄙𑄧 𑄇𑄇𑄴
তোমার কাকা কোথায় গেছে? কাকারা আমাদের এখানে বেড়াতে আসবে।,𑄖𑄧 𑄇𑄇𑄴𑄇 𑄇𑄪𑄙𑄪 𑄎𑄨𑄠𑄳𑄦𑄬? 𑄇𑄇𑄴𑄇𑄘𑄊𑄨 𑄃𑄟𑄳𑄦 𑄃𑄨𑄙𑄪 𑄝𑄬𑄢 𑄃𑄬𑄞𑄇𑄴𑅁
খিল খিল হাসি,𑄇𑄇𑄴 𑄇𑄇𑄴 𑄦𑄎𑄨
তারা যে খিল খিল হাসি দিচ্ছে তো!,𑄖𑄢𑄳𑄦 𑄎𑄬 𑄇𑄇𑄴 𑄇𑄇𑄴 𑄦𑄎𑄨 𑄘𑄬𑄙𑄧𑄚𑄴 𑄘𑄧!
সে খিলখিলিয়ে একটি হাসি দিলো।,𑄖𑄬 𑄇𑄇𑄴𑄇𑄉𑄬𑄠𑄴 𑄃𑄨𑄇𑄴𑄊𑄮 𑄦𑄎𑄨 𑄘𑄨𑄣𑄳𑄦𑄮𑅁
কাকিরা কোথায় গেলো?,𑄇𑄇𑄴𑄇𑄨 𑄘𑄊𑄨 𑄇𑄪𑄙𑄪 𑄎𑄬𑄣𑄳𑄦𑄇𑄴?
বাঁশের ভেলা,𑄝𑄏𑄧 𑄇𑄇𑄴𑄇𑄳𑄠𑄬
উপর থেকে ভেলায় করে মানুষ নামতেছে,𑄃𑄉𑄢𑄬𑄖𑄴𑄗𑄪𑄚𑄴 𑄇𑄇𑄴𑄇𑄳𑄠𑄬𑄖𑄴 𑄉𑄧𑄢𑄳𑄦𑄨 𑄟𑄚𑄳𑄦𑄪𑄌𑄴 𑄣𑄟𑄧𑄘𑄧𑄚𑄴
ভেলা শুধু ঝিরির নিম্নধারায় যেতে পারে।,𑄇𑄇𑄴𑄇𑄳𑄠𑄬 𑄝𑄚 𑄥𑄧𑄢 𑄣𑄟𑄧𑄚𑄨 𑄎𑄬 𑄛𑄢𑄬𑄘𑄬𑅁
লেবু বাগান,𑄇𑄉𑄧𑄎𑄨 𑄝𑄉𑄚𑄴
সাদা কাগজ,𑄥𑄘 𑄇𑄉𑄮𑄌𑄴
নিউজপ্রিন্ট কাগজ,𑄚𑄨𑄃𑄪𑄌𑄴𑄛𑄳𑄢𑄨𑄚𑄴𑄖𑄴 𑄇𑄉𑄮𑄌𑄴
ফাটা কাগজ,𑄜𑄘 𑄇𑄉𑄮𑄌𑄴
ভালো কাগজ,𑄉𑄧𑄟𑄴 𑄇𑄉𑄮𑄌𑄴𑅁
কাঁকড়ার গর্ত(বাসস্থান),𑄇𑄋𑄢𑄳𑄦 𑄘𑄢𑄴
কাঁকড়ার বুকের শাঁস,𑄇𑄋𑄢𑄳𑄦 𑄌𑄇𑄴
কাঁকড়ার মস্তিষ্ক,𑄇𑄋𑄢𑄳𑄦 𑄊𑄨𑄣𑄪𑄇𑄴
কুঞ্চিত হওয়া,𑄇𑄋𑄪𑄢𑄳𑄦𑄪𑄇𑄴 𑄝𑄧𑄘𑄚
কোকড়ানো চুলবিশিষ্ট,𑄇𑄋𑄪𑄢𑄳𑄦𑄪𑄇𑄴 𑄌𑄪𑄣𑄮
কোকড়ানো কোকড়ানো চুলগুলো তার,𑄇𑄋𑄪𑄢𑄳𑄦𑄪𑄇𑄴 𑄇𑄋𑄪𑄢𑄳𑄦𑄪𑄇𑄴 𑄌𑄪𑄣𑄚𑄳𑄦𑄨 𑄖𑄢𑄴
